Intel i7 9700k;East London;22 May 2020;R5000;Perfect;Open;2020-11-14T15:51:28+0200
9700K;Vaal;about 6 months;R5000;Perfect;Open;2020-11-12T09:18:10+0200
i5 10600k;Fish Hoek;1 month;R5000;New;Open;2020-12-23T08:46:48+0200
i7 9700k with cooler - sold;Pretoria;2 years;R5000;Great;Open;2021-01-01T13:58:25+0200
Intel Core i5 9600k and ASUS TUF Motherboard Combo;Brackenfell, Cape Town;1.5 Years;R5,500;Used, Great condition;Open;2020-12-20T14:56:31+0200
i7 9700K;Cape Town;2 years;4800;Excellent;Open;2021-01-21T21:14:25+0200
Intel i7 - 9700k gots to go;Somerset West;21 Oct 2019;R 4, 750 slightly neg;Perfect;Open;2020-11-18T15:01:35+0200
i7 9700 8C/8T Up to 4.70 GHz boost;Roodepoort;Around 2 months;R4500;Used - Like New;Open;2020-07-14T13:18:20+0200
Intel® Core™ i7-8700K Processor;CPT;Not Sure;R4500;Runs perfect.;Open;2020-07-28T12:44:10+0200
Intel i7 8700K and i7 9700K;Springs;Not sure, bought from here to test my system as I was having some thermal issues, turns out it was the motherboard;R4200;Excellent;Open;2020-07-29T18:21:48+0200
Intel® Core™ i7 - 8700K Processor with i7 STICKER for your case!;CPT/Durbaville;Purchased Feb 2018 from Takealot;R4500 (FNB, FNB GeoPayment or Instant EFT from other Banks);Excellent, it was run at Stock settings and kept nice and cool under a large cooler.;Open;2020-07-30T07:25:18+0200
Intel Core I7 9700K;Centurion;2 years;R4500;Good;Open;2020-09-18T21:30:41+0200
Intel I7 9700k 12M Cache, up to 4.90 GHz;Centurion;14 Months;R4500;Great;Open;2020-09-29T22:16:00+0200
Intel® Core™ i7-8700K;East rand JHB;just under 2 years;R4500;Perfect (never delided the CPU been running stock boost);Open;2020-10-05T17:44:05+0200
Intel Core I7 9700k;Centurion;2 years;R4500;Good;Open;2020-10-07T21:05:19+0200
Intel 9700K;Moreleta Park, Pretoria;2 years;R4500;Excellent;Open;2020-11-10T08:52:40+0200
i7 9700k - R4500;Kempton Park / Pretoria;Not sure ~Thinking about about a year;R4500;Excellent;Open;2020-10-11T10:33:24+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Open;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Open;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
Intel Core-i3 8100 3.6GHz;Pretoria East;+- 3 Years;R1000;Excellent;Closed;2021-02-08T08:21:25+0200
Intel Core-i3 8100 3.6GHz;Pretoria East;+- 3 Years;R1000;Excellent;Closed;2021-02-08T08:21:25+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
Intel 9th Gen Core i3-9100F 3.60 GHz;Cape Town;New;R2000;New;Closed;2021-02-05T16:47:42+0200
