I5 7640x;Location: Kraaifontein;Age: 3 Months;Price: R5500;https://carbonite.co.za/index.php?threads/i5-7640x.303290/
1 Week old 9700K;Location: Amanzimtoti, Durban;Age:1 week, warranty replacement;Price: R4500;https://carbonite.co.za/index.php?threads/1-week-old-9700k.324750/
8700K + Asus Z370 Pro;Location: Pretoria;Age: 2.5 years;Price: R4200 for CPU and R1800 for motherboard or R5500 for both;https://carbonite.co.za/index.php?threads/8700k-asus-z370-pro.327737/
Intel 8700k and ASUS ROG MAXIMUS X HERO Combo;Location: Midrand;Age: 2 Years;Price: 5500;https://carbonite.co.za/index.php?threads/intel-8700k-and-asus-rog-maximus-x-hero-combo.332097/
Core i9 7900x;Location: Jhb;Age: 2 Years;Price: 5500;https://carbonite.co.za/index.php?threads/core-i9-7900x.335940/
Intel i7 9700K x20 R5100;Location: Jhb, Alberton;Age: New sealed;Price: R5100 each;https://carbonite.co.za/index.php?threads/intel-i7-9700k-x20-r5100.309102/
LGA2011v3 (X99)- Intel Xeon E5 2699v3 (18C, 36T) (x2);Location: JHB/PTA;Age: 1 yr;Price: R5k each neg, or GPU Trades;https://carbonite.co.za/index.php?threads/lga2011v3-x99-intel-xeon-e5-2699v3-18c-36t-x2.293756/
9700k;Location: Johannesburg;Age: + / - 4 months;Price: R5000 Slightly neg;https://carbonite.co.za/index.php?threads/9700k.302760/
Brand new (SEALED) i7 9700k CPUs;Location: Cape Town;Age: Brand new;Price: R5000;https://carbonite.co.za/index.php?threads/brand-new-sealed-i7-9700k-cpus.301749/
I7 9700K;Location: Centurion;Age: 5 months;Price: R5000;https://carbonite.co.za/index.php?threads/i7-9700k.310459/
Intel 6950X;Location: Pta;Age: n/a;Price: 5000;https://carbonite.co.za/index.php?threads/intel-6950x.326700/
9700K;Location: Vaal;Age: about 6 months;Price: R5000;https://carbonite.co.za/index.php?threads/9700k.326756/
Intel i7 9700k;Location: East London;Age: 22 May 2020;Price: R5000;https://carbonite.co.za/index.php?threads/intel-i7-9700k.327278/
i5 10600k;Location: Fish Hoek;Age: 1 month;Price: R5000;https://carbonite.co.za/index.php?threads/i5-10600k.335120/
i7 9700k with cooler - sold;Location: Pretoria;Age: 2 years;Price: R5000;https://carbonite.co.za/index.php?threads/i7-9700k-with-cooler-sold.336376/
Intel Core i5 9600k and ASUS TUF Motherboard Combo;Location: Brackenfell, Cape Town;Age: 1.5 Years;Price: R5,500;https://carbonite.co.za/index.php?threads/intel-core-i5-9600k-and-asus-tuf-motherboard-combo.334589/
Intel i7 - 9700k gots to go;Location: Somerset West;Age: 21 Oct 2019;Price: R 4, 750 slightly neg;https://carbonite.co.za/index.php?threads/intel-i7-9700k-gots-to-go.328177/
